NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
ITC1,3134349.9999999995,277777.77777777775,365633.33333333326,8027777.777777778,0,8382686.11111111,0,2507447.222222222
ITC2,220216.66666666663,27777.777777777777,27783.33333333333,27777.777777777777,0,333397.2222222222,0,19280.555555555555
ITC3,2302202.7777777775,194444.44444444444,247838.88888888888,0,0,2229047.222222222,0,71705.55555555556
ITC4,2275777.7777777775,222222.2222222222,276627.77777777775,9138888.888888888,0,9505616.666666664,0,1272038.8888888888
ITF1,1129611.111111111,111111.11111111111,148655.55555555553,222222.2222222222,0,2622008.3333333335,0,561972.2222222221
ITF2,257897.2222222222,27777.777777777777,36244.444444444445,111111.11111111111,0,1533449.9999999998,0,873655.5555555555
ITF3,1526361.111111111,166666.66666666666,188566.66666666666,777777.7777777778,0,3292988.888888889,0,774266.6666666666
ITF4,326577.77777777775,27777.777777777777,41525.0,277777.77777777775,0,7792513.888888888,0,2318336.111111111
ITF5,604097.2222222221,55555.555555555555,81722.22222222222,194444.44444444444,0,4283236.111111111,0,390886.1111111111
ITF6,1664233.3333333333,166666.66666666666,206444.4444444444,138888.88888888888,0,2853000.0,0,475149.99999999994
ITG1,746227.7777777778,55555.555555555555,89841.66666666666,361111.11111111107,0,4975586.111111111,0,2108250.0
ITG2,432194.44444444444,27777.777777777777,56597.22222222221,555555.5555555555,0,1974013.8888888885,0,112022.22222222222
ITH1,1104319.4444444445,111111.11111111111,144044.44444444444,0,0,1528052.7777777775,0,56741.66666666666
ITH2,2169300.0,250000.0,296183.3333333333,0,0,2612275.0,0,38713.88888888889
ITH3,2048930.5555555555,222222.2222222222,267708.3333333333,6194444.444444443,0,15698669.444444442,0,1914072.2222222222
ITH4,1990766.6666666665,222222.2222222222,255469.4444444444,999999.9999999999,0,3815422.222222222,0,535797.2222222221
ITH5,1985024.9999999998,222222.2222222222,287652.77777777775,3416666.666666666,0,20075708.333333332,0,890586.1111111111
ITI1,3391350.0,305555.5555555555,388516.6666666666,444444.4444444444,0,6604633.333333331,0,707438.8888888889
ITI2,419719.44444444444,27777.777777777777,54719.44444444444,500000.0,0,2304722.222222222,0,375572.2222222222
ITI3,809158.3333333334,83333.33333333333,106397.2222222222,305555.5555555555,0,4699602.777777778,0,747388.8888888889
ITI4,1885855.5555555555,194444.44444444444,223974.99999999997,805555.5555555555,0,3883319.4444444436,0,386316.6666666666
LT,0,0,0,0,399440.27777777775,0,0,0
LT00,7875086.11111111,1388888.8888888888,1019374.9999999999,4333333.333333333,0,33196636.111111104,0,4343108.333333333
LU,0,0,0,0,39161.666666666664,0,0,0
LU00,535722.2222222222,205096.38888888888,30438.611111111106,422756.11111111107,0,935194.4444444444,0,123198.88888888888
LV,0,0,0,0,215957.77777777775,0,277.77777777777777,0
LV00,14648230.555555554,4416666.666666666,979636.111111111,2277777.777777778,0,22266636.11111111,0,2042922.222222222
ME,277777.77777777775,0,0,83333.33333333333,0.0,1527777.7777777775,0,7716.666666666666
MK,598427.7777777778,0,0,194444.44444444444,265558.8888888889,7666666.666666666,2222.222222222222,436597.2222222222
MT,0,0,0,0,1293409.722222222,0,0,0
MT00,0,0,7591.944444444444,113059.99999999999,0,0,0,3132.7777777777774
NL,0,0,0,0,16249138.888888886,0,123611.1111111111,0
NL11,13858.33333333333,0,10822.22222222222,750000.0,0,1442736.111111111,0,97069.44444444444
NL12,17827.777777777777,0,17291.666666666664,1555555.5555555555,0,844880.5555555555,0,9305.555555555555
NL13,178422.22222222222,27777.777777777777,74025.0,777777.7777777778,0,1442508.333333333,0,77194.44444444444
NL21,200341.66666666663,27777.777777777777,90133.33333333333,1611111.111111111,0,895952.7777777778,0,151552.77777777775
NL22,534119.4444444444,55555.555555555555,212186.1111111111,2277777.7777777775,0,1533899.9999999998,0,50911.11111111111
NL23,2536.111111111111,0,2119.4444444444443,277777.77777777775,0,930769.4444444444,0,148272.22222222222
NL31,73077.77777777777,0,38177.777777777774,361111.11111111107,0,311469.4444444444,0,872.2222222222222
NL32,31272.22222222222,0,21811.11111111111,305555.5555555555,0,806349.9999999999,0,52505.55555555555
NL33,7911.1111111111095,0,7624.999999999999,305555.5555555555,0,650791.6666666666,0,122808.33333333331
NL34,9977.777777777777,0,7630.555555555556,166666.66666666666,0,1488855.5555555553,0,349880.5555555555
NL41,440888.8888888889,27777.777777777777,167986.1111111111,3638888.8888888885,0,1743308.333333333,0,267974.99999999994
NL42,203505.55555555553,27777.777777777777,81294.44444444442,1555555.5555555555,0,1060588.8888888888,0,182602.77777777775
NO,0,0,0,0,6910502.777777777,0,203055.55555555553,0
NO01,1281947.222222222,0,0,0,0,2083333.333333333,0,0
NO02,3586508.333333333,0,0,0,0,5944444.444444444,0,0
NO03,2914374.9999999995,0,0,0,0,5222222.222222222,0,0
NO04,1335472.222222222,0,0,0,0,2333333.333333333,0,0
NO05,1241241.6666666663,0,0,0,0,2333333.3333333335,0,0
NO06,1338816.6666666665,0,0,0,0,2555555.555555555,0,0
NO07,560022.2222222221,0,0,0,0,1222222.222222222,0,0
PL,0,0,0,0,7863722.222222221,0,327777.77777777775,0
PL11,1923058.333333333,194444.44444444444,195080.55555555553,1777777.7777777775,0,7501450.0,0,1396372.2222222222
PL12,3159255.5555555555,277777.77777777775,324800.0,3305555.5555555555,0,12195058.333333334,0,1820858.3333333333
PL21,1715802.7777777778,194444.44444444444,208244.44444444444,194444.4444444444,0,5458758.333333333,0,466669.4444444444
PL22,2385119.444444444,250000.0,281561.11111111107,611111.111111111,0,5808075.0,0,673402.7777777776
PL31,2434763.8888888885,250000.0,281363.8888888889,666666.6666666666,0,15260716.666666666,0,2447777.7777777775
PL32,3994188.888888889,444444.4444444444,488972.2222222222,249999.99999999997,0,10172475.0,0,951638.8888888888
PL33,1800388.8888888888,166666.66666666666,174533.3333333333,444444.4444444444,0,5063041.666666667,0,703319.4444444444
PL34,2731861.111111111,305555.5555555555,339122.2222222222,833333.3333333331,0,7153405.555555555,0,172819.44444444444
PL41,4883322.222222221,472222.2222222222,503836.11111111107,7638888.888888888,0,20553325.0,0,2361580.5555555555
PL42,4693747.222222222,472222.2222222222,509563.8888888888,2083333.333333333,0,11256574.999999998,0,2248274.9999999995
PL43,3895522.222222222,388888.8888888889,398191.6666666666,916666.6666666666,0,6114436.111111111,0,759527.7777777778
PL51,3825813.888888888,416666.6666666666,438111.11111111107,805555.5555555555,0,12657877.777777776,0,2602258.333333333
PL52,1196055.5555555555,138888.88888888888,143144.44444444444,888888.8888888888,0,7364477.777777777,0,1480636.1111111108
PL61,2495749.9999999995,222222.2222222222,238066.66666666666,1305555.5555555553,0,12089666.666666666,0,1606983.3333333333
PL62,5131019.444444444,500000.0,562808.3333333333,1027777.7777777776,0,11937350.0,0,998450.0
PL63,4314091.666666666,416666.6666666666,444049.99999999994,1138888.8888888888,0,9277663.888888888,0,1363752.7777777778
PT,0,0,0,0,4175661.1111111105,0,194166.66666666663,0
PT11,2652913.888888889,305555.5555555555,307761.11111111107,499999.99999999994,0,3505888.888888889,0,529097.2222222222
PT15,179416.66666666666,27777.777777777777,19477.777777777777,27777.777777777777,0,722388.8888888888,0,64305.555555555555
PT16,7745358.333333332,861111.111111111,879769.4444444444,1444444.4444444443,0,7673666.666666667,0,741511.111111111
PT17,278411.1111111111,27777.777777777777,31855.555555555555,305555.5555555555,0,696638.8888888889,0,75091.66666666666
PT18,2592952.7777777775,305555.5555555555,309122.2222222222,4111111.111111111,0,4260805.555555555,0,694908.3333333333
PT20,0,0,0,0,0,61833.33333333332,0,0
RO,0,0,0,0,2539609.722222222,0,7222.222222222221,0
RO11,5504680.555555556,805555.5555555555,583288.8888888888,722222.2222222221,0,16762425.0,0,1556830.5555555553
RO12,6657566.666666667,888888.8888888889,623616.6666666665,944444.4444444444,0,16267308.33333333,0,723213.8888888889
RO21,6881675.0,416666.6666666667,283147.2222222222,888888.8888888888,0,18051377.77777778,0,1858186.111111111
RO22,3285372.222222222,416666.6666666667,299038.8888888889,1305555.5555555555,0,25524230.555555552,0,3348725.0
RO31,3317250.0,0,8955.555555555555,1722222.222222222,0,18650108.333333332,0,4160733.3333333326
RO32,91347.2222222222,444444.44444444444,325600.0,27777.777777777777,0,2200949.9999999995,0,177286.11111111112
RO41,3590249.9999999995,749999.9999999999,530983.3333333333,111111.11111111111,0,17627866.666666664,0,3048344.4444444445
RO42,5594694.444444443,4416666.666666666,3152152.7777777775,500000.0,0,23779327.777777776,0,1631130.5555555555
RS,1834202.7777777775,0,0,2972222.2222222215,0,25583333.333333332,11944.444444444442,8045308.333333332
SE,0,0,0,0,8589172.22222222,0,528888.8888888888,0
SE11,1906597.222222222,1777777.7777777778,462755.5555555555,27777.777777777777,0,3791624.999999999,0,245694.4444444444
SE12,6247458.333333333,2249999.9999999995,580019.4444444444,944444.4444444444,0,12237827.777777778,0,1704733.333333333
SE21,8239536.111111111,888888.8888888889,234211.1111111111,1166666.6666666665,0,14495163.88888889,0,37330.555555555555
SE22,3505886.111111111,1527777.7777777778,397061.11111111107,916666.6666666666,0,7562127.777777778,0,1649011.1111111108
SE23,5607708.333333333,3361111.111111111,864344.4444444444,1166666.6666666665,0,10077388.888888886,0,722608.3333333333
SE31,11609824.999999998,2638888.888888889,675938.8888888889,277777.77777777775,0,20490125.0,0,161669.44444444444
